Clause,Clause_Name,Responsibility
1.13,Compliance with Laws,"The Contractor shall, in performing the Contract, comply with applicable Laws. Unless otherwise stated in the Particular Conditions: (a) the Employer shall have obtained (or shall obtain) the planning, zoning or similar permission for the Permanent Works, and any  other permissions  described in the Specification as having been (or being) obtained by the Employer; and the Employer shall indemnify  and hold the Contractor harmless  against and from the consequences of any failure to do so; and (b) the Contractor shall give all notices, pay all taxes, duties and fees, and obtain all permits, licences and approvals, as required by the Laws in relation to the execution and completion of the Works and the remedying of any defects: and the Contractor shall indemnify  and hold the Employer harmless  against and from the consequences of any failure to do so."
1.14,Joint and Several Liability,"If  the  Contractor  constitutes  (under  applicable  Laws)  a  joint  venture,  consortium  or other unincorporated grouping of two or more persons: (a)      these persons shall be deemed to be jointly and severally liable to the Employer for the performance of the Contract: (b)      these persons shall notify the Employer of their leader who shall have authority to bind the Contractor and each of these persons: and (c)      the Contractor shall not alter its composition or legal status without the prior consent of the Employer."
2.1,Right  of  Access  to the Site,"The Employer shall give the Contractor right of access to. and possession of, all parts of the Site within the time (or times) stated in the Appendix to Tender. The right and possession may  not be exclusive to the Contractor. If. under the Contract, the Employer is  required to give (to the Contractor) possession of any  foundation, structure, plant or means of access, the Employer shall do so in the time and manner stated in the Specification. However, the Employer may  withhold any  such right or possession until the Performance Security has been received. If no such time is  stated in the Appendix  to Tender, the Employer shall give the Contractor right of access  to, and possession of. the Site within such times as may be required to enable the Contractor to proceed in accordance with the programme submitted under Sub-Clause 8.3.  [Programme]. If the Contractor suffers  delay  and/or incurs  Cost as  a result of a failure by  the Employer to give any such right or possession within such time, the Contractor shall give notice to the Engineer and shall be entitled subject to Sub-Clause 20.1 [Contractors Claims] to: an extension of time for any such delay, if completion is or will be delayed, under Sub-Clause 8.4 [Extension of Time for Completion], and payment of any such Cost plus reasonable profit, which shall be included in the Contract Price. After receiving  this  notice,  the  Engineer  shall  proceed  in  accordance  with  Sub­ Clause 3.5 [Determinations] to agree or determine these matters.
However, if and to the extent that the Employer's failure was caused by any error or delay by the Contractor, including an error in. or delay in the submission of. any of the Contractor's  Documents, the Contractor shall not be entitled to such extension of time. Cost or profit."
2.2,"Permits, Licences or Approvals","The Employer shall (where he is in a position to do so) provide reasonable assistance to the Contractor at the request of the Contractor: (a)        by  obtaining  copies  of  the  Laws  of  the  Country  which  are  relevant  to  the Contract but are not readily available, and (b)       for the Contractor’s applications for any permits, licences or approvals required by the Laws of the Country: (i)       which the Contractor is required to obtain under Sub-Clause 1.13 [Compliance with Laws]. (ii)       for the delivery of Goods, including clearance through customs, and (iii)      for the export of Contractor’s Equipment when it is removed from the Site."
2.3,Employer's Personnel,"The Employer shall be responsible for ensuring that the Employer's Personnel and the Employer's other contractors on the Site: (a)       co-operate  with  the  Contractor's  efforts  under  Sub-Clause  4.6  [Co-operation], and (b) take actions similar to those which the Contractor is required to take under sub­ paragraphs  (a), (b) and (c) of Sub-Clause 4.8 [Safety  Procedures] and under Sub-Clause 4.18 [Protection of the Environment]."
2.4,Employer's Financial Arrangements,"The Employer shall submit, within 28 days  after receiving any  request from the Contractor, reasonable evidence that financial arrangements have been made and are being maintained which will enable the Employer to pay  the Contract Price (as estimated at that time) in accordance with Clause 14 [Contract Price and Payment]. If the Employer intends to make any material change to his financial arrangements, the Employer shall give notice to the Contractor with detailed particulars."
2.5,Employer's Claims,"If the Employer considers himself to be entitled to any payment under any Clause of these Conditions or otherwise in connection with the Contract, and/or to any extension of the Defects Notification Period, the Employer or the Engineer shall give notice and particulars to the Contractor. However, notice is not required for payments due under Sub-Clause 4.19 [Electricity  Water and Gas], under Sub-Clause 4.20 [Employer's Equipment and Free-Issue Material], or for other services requested by the Contractor. The notice shall be given as soon as practicable after the Employer became aware of the event or circumstances giving rise to the claim. A notice relating to any extension of the Defects Notification Period shall be given before the expiry of such period. The particulars shall specify the Clause or other basis of the claim, and shall include substantiation of the amount and/or extension to which the Employer considers himself to be entitled in connection with the Contract. The Engineer shall then proceed in accordance with Sub-Clause 3.5 [Determinations] to agree or determine (i) the amount (if any) which the Employer is  entitled to be paid by  the Contractor, and/or (ii) the extension (if any) of the Defects Notification Period in accordance with Sub­ Clause 11.3 [Extension of Defects Notification Period]. This  amount may  be included as  a deduction in the Contract Price and Payment Certificates. The Employer shall only  be entitled to set off against or make any deduction from an amount certified in a Payment Certificate, or to otherwise claim against the Contractor, in accordance with this Sub-Clause."
3.1,Engineer's Duties and Authority,"The Employer shall appoint the Engineer who shall carry  out the duties  assigned to him in the Contract. The Engineer’s staff shall include suitably qualified engineers and other professionals who are competent to carry out these duties. The Engineer shall have no authority to amend the Contract. The Engineer may exercise the authority attributable to the Engineer as specified in or necessarily to be implied from the Contract. If the Engineer is required to obtain the approval of the Employer before exercising a specified authority, the requirements shall be as  stated in the Particular Conditions. The Employer undertakes  not to impose further constraints on the Engineer's authority, except as agreed with the Contractor. However, whenever the Engineer exercises  a specified authority  for which the Employer’s approval is required, then (for the purposes of the Contract) the Employer shall be deemed to have given approval. Except as otherwise stated in these Conditions: whenever carrying out duties or exercising authority, specified in or implied by the Contract, the Engineer shall be deemed to act for the Employer: the Engineer has no authority to relieve either Party of any duties, obligations or responsibilities under the Contract; and any  approval,  check,  certificate,  consent,  examination,  inspection,  instruction, notice, proposal, request, test, or similar act by the Engineer (including absence of  disapproval)  shall  not  relieve  the  Contractor  from  any  responsibility  he  has under  the  Contract,  including  responsibility  for  errors,  omissions,  discrepancies and non-compliances."
3.2,Delegation by the Engineer,"The Engineer may from time to time assign duties and delegate authority to assistants, and may also revoke such assignment or delegation. These assistants may include a resident  engineer,  and/or  independent  inspectors  appointed  to  inspect  and/or  test items of Plant and/or Materials. The assignment, delegation or revocation shall be in writing  and  shall  not  take  effect  until  copies  have  been  received  by  both  Parties. However, unless otherwise agreed by both Parties, the Engineer shall not delegate the authority to determine any matter in accordance with Sub-Clause 3.5 [Determinations]. Assistants shall be suitably qualified persons, who are competent to carry out these duties   and   exercise   this   authority,   and   who   are   fluent   in   the   language   for communications defined in Sub-Clause 1.4 [Law and Language].
Each assistant, to whom duties have been assigned or authority has been delegated, shall only  be authorised to issue instructions  to the Contractor to the extent defined by  the delegation. Any  approval, check, certificate, consent, examination, inspection, instruction, notice, proposal, request, test, or similar act by  an assistant, in accordance with the delegation, shall have the same effect as  though the act had been an act of the Engineer. However:
(a) any  failure to disapprove any  work. Plant or Materials  shall not constitute approval, and shall therefore not prejudice the right of the Engineer to reject the work. Plant or Materials:
(b) if the Contractor questions any determination or instruction of an assistant, the Contractor may  refer the matter to the Engineer, who shall promptly  confirm, reverse or vary the determination or instruction."
3.3,Instructions of the Engineer,"The Engineer may  issue to the Contractor (at any  time) instructions  and additional or modified Drawings  which may  be necessary  for the execution of the Works  and the remedying of any  defects, all in accordance with the Contract. The Contractor shall only  take instructions  from the Engineer, or from an assistant to whom the appropriate authority  has  been delegated under this  Clause. If an instruction constitutes a Variation. Clause 13 [Variations and Adjustments] shall apply.
The Contractor shall comply with the instructions given by the Engineer or delegated assistant, on any  matter related to the Contract. Whenever practicable, their instructions shall be given in writing. If the Engineer or a delegated assistant:
(a)      gives an oral instruction,
(b)        receives  a  written  confirmation  of  the  instruction,  from  (or  on  behalf  of)  the Contractor, within two working days after giving the instruction, and
(c)        does  not  reply  by  issuing  a  written  rejection  and/or  instruction  within  two working days after receiving the confirmation.
then   the   confirmation   shall   constitute   the   written   instruction   of   the   Engineer   or delegated assistant (as the case may be)."
3.4,Replacement of the Engineer,"If the Employer intends to replace the Engineer, the Employer shall, not less than 42 days  before the intended date of replacement, give notice to the Contractor of the name, address  and relevant experience of the intended replacement Engineer. The Employer shall not replace the Engineer with a person against whom the Contractor raises reasonable objection by notice to the Employer, with supporting particulars."
3.5,Determinations,"Whenever these Conditions  provide that the Engineer shall proceed in accordance with this Sub-Clause 3.5 to agree or determine any matter, the Engineer shall consult with each Party in an endeavour to reach agreement. If agreement is not achieved, the Engineer shall make a fair determination in accordance with the Contract, taking due regard of all relevant circumstances. The Engineer shall give notice to both Parties of each agreement or determination, with supporting particulars. Each Party shall give effect to each agreement or determination unless and until revised under Clause 20 [Claims, Disputes and Arbitration]. "
4.1,Contractor's General Obligations,"The Contractor shall design (to the extent specified in the Contract), execute and complete the Works  in accordance with the Contract and with the Engineer's instructions, and shall remedy any defects in the Works.
The Contractor shall provide the Plant and Contractor's  Documents  specified in the Contract, and all Contractor’s  Personnel. Goods, consumables  and other things  and services, whether of a temporary or permanent nature, required in and for this design, execution, completion and remedying of defects.
The Contractor shall be responsible for the adequacy, stability  and safety  of all Site operations  and of all methods  of construction. Except to the extent specified in the Contract, the Contractor (i) shall be responsible for all Contractor's  Documents. Temporary Works, and such design of each item of Plant and Materials as is required for the item to be in accordance with the Contract, and (ii) shall not otherwise be responsible for the design or specification of the Permanent Works.
The Contractor shall, whenever required by  the Engineer, submit details  of the arrangements and methods which the Contractor proposes to adopt for the execution of the Works. No significant alteration to these arrangements  and methods  shall be made without this having previously been notified to the Engineer.
If  the  Contract  specifies  that  the  Contractor  shall  design  any  part  of  the  Permanent Works, then unless otherwise stated in the Particular Conditions:
(a) the Contractor shall submit to the Engineer the Contractor's Documents for this part in accordance with the procedures specified in the Contract:                                                                                                                   (b) these  Contractor’s  Documents  shall  be  in  accordance  with  the  Specification and  Drawings,  shall  be  written  in  the  language  for  communications  defined  in Sub-Clause  1.4  [Law  and  Language],  and  shall  include  additional  information required  by  the  Engineer  to  add  to  the  Drawings  for  co-ordination  of  each Party’s designs: (c) the Contractor shall be responsible for this part and it shall, when the Works are completed,  be  fit  for  such  purposes  for  which  the  part  is  intended  as  are specified in the Contract; and prior  to  the  commencement  of  the  Tests  on  Completion,  the  Contractor  shall submit    to    the    Engineer    the    ""as-built”    documents    and    operation    and maintenance  manuals  in  accordance  with  the  Specification  and  in  sufficient detail for the Employer to operate, maintain, dismantle, reassemble, adjust and repair this part of the Works. Such part shall not be considered to be completed for  the  purposes  of  taking-over  under  Sub-Clause  10.1  [Taking  Over  of  the Works and Sections] until these documents and manuals have been submitted to the Engineer."
4.2,Performance Security,"The Contractor shall obtain (at his cost) a Performance Security for proper performance, in the amount and currencies stated in the Appendix to Tender. If an amount is not stated in the Appendix to Tender, this Sub-Clause shall not apply. The Contractor shall deliver the Performance Security to the Employer within 28 days after receiving the Letter of Acceptance, and shall send a copy to the Engineer. The Performance Security shall be issued by an entity and from within a country (or other jurisdiction)  approved  by  the  Employer,  and  shall  be  in  the  form  annexed  to  the Particular Conditions or in another form approved by the Employer.
The Contractor shall ensure that the Performance Security is valid and enforceable until the Contractor has  executed and completed the Works and remedied any defects. If the terms of the Performance Security specify its expiry date, and the Contractor has not become entitled to receive the Performance Certificate by the date 28 days prior to the expiry date, the Contractor shall extend the validity of the Performance Security until the Works have been completed and any defects have been remedied.
The  Employer  shall  not  make  a  claim  under  the  Performance  Security,  except  for amounts to which the Employer is entitled under the Contract in the event of: described in the preceding paragraph, in which event the Employer may claim the full amount of the Performance Security, failure by the Contractor to pay the Employer an amount due. as either agreed
(a) failure by the Contractor to extend the validity of the Performance Security as described in the preceding paragraph, in which event the Employer may claim the full amount of the Performance Security, (b) failure by the Contractor to pay the Employer an amount due. as either agreed by  the  Contractor  or  determined  under  Sub-Clause  2.5  [Employer's  Claims]  or Clause   20   [Claims,   Disputes   and   Arbitration],   within   42   days   after this agreement or determination. (c) failure by the Contractor to remedy a default within 42 days after receiving the Employer's notice requiring the default to be remedied or circumstances   which   entitle   the   Employer to termination under sub clause 15.2 [Termination   by   Employer],   irrespective   of   whether   notice   of termination has been given. The Employer shall indemnify and hold the Contractor harmless against and from all damages, losses  and expenses  (including legal fees  and expenses) resulting from a claim under the Performance Security  to the extent to which the Employer was  not entitled to make the claim.
The Employer shall return the Performance Security to the Contractor within 21 days after receiving a copy of the Performance Certificate."
4.3,Contractor's Representative,"The  Contractor  shall  appoint  the  Contractor's  Representative  and  shall  give  him  all authority necessary to act on the Contractor’s behalf under the Contract.
Unless the Contractor's Representative is named in the Contract, the Contractor shall, prior to the Commencement Date, submit to the Engineer for consent the name and particulars of the person the Contractor proposes to appoint as Contractor’s Repres­ entative. If consent is withheld or subsequently revoked, or if the appointed person fails to act as Contractor's Representative, the Contractor shall similarly submit the name and particulars of another suitable person for such appointment.
The  Contractor  shall  not,  without  the  prior  consent  of  the  Engineer,  revoke  the appointment of the Contractor’s Representative or appoint a replacement.
The whole time of the Contractor's  Representative shall be given to directing the Contractor's  performance of the Contract. If the Contractor's  Representative is  to be temporarily  absent from the Site during the execution of the Works, a suitable replacement person shall be appointed, subject to the Engineer's  prior consent, and the Engineer shall be notified accordingly.
The Contractor’s Representative shall, on behalf of the Contractor, receive instructions under Sub-Clause 3.3 [Instructions of the Engineer]. The Contractors  Representative may  delegate any  powers, functions  and authority to any  competent person, and may  at any  time revoke the delegation. Any delegation or revocation shall not take effect until the Engineer has  received prior notice signed by  the Contractor’s  Representative, naming the person and specifying the powers, functions and authority being delegated or revoked.
The   Contractor's   Representative   and   all   these   persons   shall   be   fluent   in   the language for communications defined in Sub-Clause 1.4 [Law and Language]."
4.4,Subcontractors,"The Contractor shall not subcontract the whole of the Works.
The Contractor shall be responsible for the acts or defaults of any Subcontractor, his agents or employees, as if they were the acts or defaults of the Contractor. Unless otherwise stated in the Particular Conditions:
(a)       the Contractor shall not be required to obtain consent to suppliers of Materials, or to a subcontract for which the Subcontractor is named in the Contract:
(b) the prior consent of the Engineer shall be obtained to other proposed subcontractors; (c) the  Contractor  shall  give  the  Engineer  not  less  than  28  days'  notice  of  the intended date of the commencement of each Subcontractor's work, and of the commencement of such work on the Site: and (d) each subcontract shall include provisions which would entitle the Employer to require the subcontract to be assigned to the Employer under Sub-Clause 4.5 [Assignment of Benefit of Subcontract] (if or when applicable) or in the event of termination under Sub-Clause 15.2 [Termination by Employer]."
4.5,Assignment   of   Benefit of Subcontract,"If a Subcontractor's obligations extend beyond the expin/ date of the relevant Defects Notification Period and the Engineer, prior to this  date, instructs  the Contractor to assign the benefit of such obligations  to the Employer, then the Contractor shall do so. Unless otherwise stated in the assignment, the Contractor shall have no liability to the Employer for the work  carried out by  the Subcontractor after the assignment takes effect.
"
4.6,Co-operation,"The Contractor shall, as  specified in the Contract or as  instructed by  the Engineer,
allow appropriate opportunities for carrying out work to: the Employer's Personnel, any other contractors employed by the Employer, and the personnel of any legally constituted public authorities. who may be employed in the execution on or near the Site of any work not included in the Contract.
Any such instruction shall constitute a Variation if and to the extent that it causes the Contractor to incur Unforeseeable Cost. Services  for these personnel and other contractors  may  include the use of Contractor’s  Equipment. Temporary  Works  or access arrangements which are the responsibility of the Contractor.
If. under the Contract, the Employer is required to give to the Contractor possession of any  foundation, structure, plant or means  of access  in accordance with Contractor’s  Documents, the Contractor shall submit such documents  to the Engineer in the time and manner stated in the Specification."
4.7,Setting Out,"The Contractor shall set out the Works in relation to original points, lines and levels of reference specified in the Contract or notified by the Engineer. The Contractor shall be responsible for the correct positioning of all parts of the Works, and shall rectify any error in the positions, levels, dimensions or alignment of the Works.
The Employer shall be responsible for any errors in these specified or notified items of reference, but the Contractor shall use reasonable efforts  to verify  their accuracy before they are used.
If the Contractor suffers  delay  and/or incurs  Cost from executing work  which was necessitated by  an error in these items  of reference, and an experienced contractor could not reasonably have discovered such error and avoided this delay and/or Cost, the Contractor shall give notice to the Engineer and shall be entitled subject to Sub­ Clause 20.1 [Contractor’s Claims] to:
(a) an extension of time for any  such delay, if completion is  or will be delayed, under Sub-Clause 8.4 [Extension of Time for Completion], and (b) payment of any such Cost plus reasonable profit, which shall be included in the Contract Price. After receiving  this  notice,  the  Engineer  shall  proceed  in  accordance  with  Sub­ Clause 3.5 [Determinations] to agree or determine (i) whether and (if so) to what extent the error could not reasonably  have been discovered, and (ii) the matters  described in sub-paragraphs (a) and (b) above related to this extent."
4.8,Safety Procedures,"The Contractor shall:
(a)      comply with all applicable safety regulations.
(b)      take care for the safety of all persons entitled to be on the Site.
(c)        use  reasonable  efforts  to  keep  the  Site  and  Works  clear  of  unnecessary obstruction so as to avoid danger to these persons.
(d)       provide fencing, lighting, guarding and watching  of the Works until completion and taking over under Clause 10 [Employer’s Taking Over], and
(e) provide any  Temporary  Works  (including roadways, footways, guards  and fences) which may  be necessary, because of the execution of the Works, for the use and protection of the public and of owners and occupiers of adjacent land."
4.9,Quality Assurance,"The Contractor shall institute a quality assurance system to demonstrate compliance with the requirements of the Contract. The system shall be in accordance with the details stated in the Contract. The Engineer shall be entitled to audit any aspect of the system.
Details  of all procedures  and compliance documents  shall be submitted to the Engineer for information before each design and execution stage is  commenced. When any document of a technical nature is issued to the Engineer, evidence of the prior approval by the Contractor himself shall be apparent on the document itself.
Compliance with the quality assurance system shall not relieve the Contractor of any of his duties, obligations or responsibilities under the Contract."
4.10,Site Data,"The Employer shall have made available to the Contractor for his information, prior to the Base Date, all relevant data in the Employer's  possession on sub-surface and hydrological conditions at the Site, including environmental aspects. The Employer shall similarly  make available to the Contractor all such data which come into the Employer's  possession after the Base Date. The Contractor shall be responsible for interpreting all such data.
To the extent which was practicable (taking account of cost and time), the Contractor shall be deemed to have obtained all necessary information as to risks, contingencies and other circumstances which may influence or affect the Tender or Works. To the same extent, the Contractor shall be deemed to have inspected and examined the Site, its surroundings, the above data and other available information, and to have been satisfied
before submitting the Tender as to all relevant matters, including (without limitation):the form and nature of the Site, including sub-surface conditions,  the hydrological and climatic conditions, the extent and nature of the work and Goods necessary for the execution and completion of the Works and the remedying of any defects, the Laws, procedures and labour practices of the Country, and the  Contractor's  requirements  for  access,  accommodation,  facilities,  personnel, power, transport, water and other services."
4.11,Sufficiency of the Accepted Contract Amount,"The Contractor shall be deemed to: (a)      have satisfied himself as to the correctness and sufficiency of the Accepted Contract Amount, and
(b) have based the Accepted Contract Amount on the data, interpretations, necessary  information, inspections, examinations  and satisfaction as  to all relevant matters referred to in Sub-Clause 4.10 [Site Data].
Unless otherwise stated in the Contract, the Accepted Contract Amount covers all the Contractor's  obligations  under the Contract (including those under Provisional Sums, if any) and all things necessary for the proper execution and completion of the Works and the remedying of any defects."
4.12,Unforeseeable Physical Conditions,"In this Sub-Clause, ""physical conditions"" means natural physical conditions and man­ made and other physical obstructions and pollutants, which the Contractor
encounters at the Site when executing the Works, including sub-surface and hydro-
logical conditions but excluding climatic conditions.
If the Contractor encounters adverse physical conditions which he considers to have been Unforeseeable, the Contractor shall give notice to the Engineer as soon as practicable.
This  notice shall describe the physical conditions, so that they  can be inspected by the Engineer, and shall set out the reasons why the Contractor considers them to be Unforeseeable. The Contractor shall continue executing the Works, using such proper and reasonable measures  as  are appropriate for the physical conditions, and shall comply with any instructions which the Engineer may give. If an instruction constitutes a Variation, Clause 13 [Variations and Adjustments] shall apply.
If and to the extent that the Contractor encounters physical conditions which are Unfore­ seeable, gives such a notice, and suffers delay and/or incurs Cost due to these conditions, the Contractor shall be entitled subject to Sub-Clause 20.1 [Contractor’s Claims] to:
(a)       an  extension  of  time  for  any  such  delay,  if  completion  is  or  will  be  delayed, under Sub-Clause 8.4 [Extension of Time for Completion], and
(b)      payment of any such Cost, which shall be included in the Contract Price. After receiving such notice and inspecting and/or investigating these physical conditions, the Engineer shall proceed in accordance with Sub-Clause 3.5 [Determinations] to agree or determine (i) whether and (if so) to what extent these physical conditions  were Unforeseeable, and (ii) the matters  described in sub­ paragraphs (a) and (b) above related to this extent.
However, before additional Cost is  finally  agreed or determined under sub­ paragraph (ii). the Engineer may  also review whether other physical conditions  in similar parts of the Works (if any) were more favourable than could reasonably have been foreseen when the Contractor submitted the Tender. If and to the extent that these more favourable conditions  were encountered, the Engineer may  proceed in accordance with Sub-Clause 3.5 [Determinations] to agree or determine the reductions  in Cost which were due to these conditions, which may  be included (as deductions) in the Contract Price and Payment Certificates. However, the net effect of all adjustments under sub-paragraph (b) and all these reductions, for all the physical conditions encountered in similar parts of the Works, shall not result in a net reduction in the Contract Price.
The Engineer may take account of any evidence of the physical conditions foreseen by the Contractor when submitting the Tender, which may be made available by the Contractor, but shall not be bound by any such evidence."
4.13,Rights of Way and Facilities,"The Contractor shall bear all costs  and charges  for special and/or temporary  rights- of-way  which he may  require, including those for access to the Site. The Contractor shall also obtain, at his risk and cost, any additional facilities outside the Site which he may require for the purposes of the Works"
4.14,Avoidance of Interference,"The Contractor shall not interfere unnecessarily or improperly with:
(a)      the convenience of the public, or
(b) the access  to and use and occupation of all roads  and footpaths, irres­ pective of whether they are public or in the possession of the Employer or of others.
The Contractor shall indemnify and hold the Employer harmless against and from all damages, losses and expenses (including legal fees and expenses) resulting from any such unnecessary or improper interference."
4.15,Access Route,"The Contractor shall be deemed to have been satisfied as  to the suitability  and availability of access routes to the Site. The Contractor shall use reasonable efforts to prevent any road or bridge from being damaged by the Contractor's traffic or by the Contractor's  Personnel. These efforts  shall include the proper use of appropriate vehicles and routes.
Except as otherwise stated in these Conditions:
(a)         the   Contractor   shall   (as   between   the   Parties)   be   responsible   for   any maintenance which may be required for his use of access routes:
(b) the Contractor shall provide all necessary  signs  or directions  along access routes, and shall obtain any  permission which may  be required from the relevant authorities for his use of routes, signs and directions:
(c)       the Employer shall not be responsible for any claims which may arise from the use or otherwise of any access route. (d)      the Employer does not guarantee the suitability or availability of particular access routes, and (e) Costs due to non-suitability or non-availability, for the use required by the Contractor, of access routes shall be borne by the Contractor."
4.16,Transport of Goods,"Unless otherwise stated in the Particular Conditions:
(a)       the Contractor shall give the Engineer not less than 21 days’ notice of the date on which any Plant or a major item of other Goods will be delivered to the Site:
(b) the Contractor shall be responsible for packing, loading, transporting, receiving, unloading, storing and protecting all Goods  and other things  required for the Works: and
(c) the Contractor shall indemnify  and hold the Employer harmless  against and from all damages, losses  and expenses  (including legal fees  and expenses) resulting from the transport of Goods, and shall negotiate and pay  all claims arising from their transport."
4.17,Contractor’s Equipment,"The Contractor shall be responsible for all Contractor's Equipment. When brought on to the Site, Contractor's Equipment shall be deemed to be exclusively intended for the execution of the Works. The Contractor shall not remove from the Site any major items of Contractor's  Equipment without the consent of the Engineer. However, consent shall not be required for vehicles  transporting Goods  or Contractor's  Personnel off Site."
4.18,Protection of the Environment,"The Contractor shall take all reasonable steps to protect the environment (both on and off the Site) and to limit damage and nuisance to people and property resulting from pollution, noise and other results of his operations.
The Contractor shall ensure that emissions, surface discharges and effluent from the Contractor's  activities  shall not exceed the values  indicated in the Specification, and shall not exceed the values prescribed by applicable Laws."
4.19,"Electricity, Water and Gas","The  Contractor  shall,  except  as  stated  below,  be  responsible  for  the  provision  of  all power, water and other services he may require.
The Contractor shall be entitled to use for the purposes of the Works such supplies of electricity, water, gas  and other services  as  may  be available on the Site and of which details and prices are given in the Specification. The Contractor shall, at his risk and cost, provide any  apparatus  necessary  for his  use of these services  and for measuring the quantities consumed.
The quantities consumed and the amounts due (at these prices) for such services shall be agreed or determined by  the Engineer in accordance with Sub-Clause 2.5 {Employer's  Claims] and Sub-Clause 3.5 [Determinations]. The Contractor shall pay these amounts to the Employer."
